ENCFF599VIR	endodermal-cell|H3K4me3|None
ENCFF104HWT	mammary-epithelial-cell|H3K4me3|None
ENCFF053DAC	K562|H3K36me3|None
ENCFF470FSZ	HeLa-S3|H2AFZ|None
ENCFF061XTF	endothelial-cell-of-umbilical-vein|H2AFZ|None
ENCFF310XFO	HeLa-S3|H3K4me3|None
ENCFF568EBI	radial-glial-cell|H3K9me3|None
ENCFF907LDT	mammary-epithelial-cell|H3K36me3|None
ENCFF077JLA	trophoblast-cell|H3K79me2|None
ENCFF188SZS	GM12878|H3K4me3|None
ENCFF415TTZ	Karpas-422|H3K9ac|None
ENCFF133PSF	HepG2|H4K20me1|None
ENCFF225OJZ	neural-stem-progenitor-cell|H3K4ac|None
ENCFF558VHL	A549|H3K27me3|ethanol
ENCFF856JVD	SK-N-SH|H3K9ac|None
ENCFF319AFB	mesendoderm|H2BK15ac|None
ENCFF232EZY	HeLa-S3|H4K20me1|None
ENCFF712ATO	HeLa-S3|H3K9me3|None
ENCFF025VJJ	GM12878|H4K20me1|None
ENCFF305JOT	Jurkat-clone-E61|H3K4me3|None
ENCFF451UZW	HEK293|H3K27ac|None
ENCFF592MEF	RWPE2|H3K27ac|None
ENCFF405TBW	iPS-20b|H3K9me3|None
ENCFF944SBT	mesenchymal-stem-cell|H3K9ac|None
ENCFF249JRN	mesendoderm|H2BK120ac|None
ENCFF551WAX	neural-cell|H4K20me1|None
ENCFF046YRR	HEK293|H3K4me3|None
ENCFF190ZXX	MCF-7|H3K9ac|None
ENCFF090XFB	HUES64|H3K27me3|None
ENCFF886SZT	HepG2|H3K27ac|None
ENCFF267IXZ	bipolar-neuron|H3K4me3|None
ENCFF339DPN	trophoblast-cell|H3K9ac|None
ENCFF714INW	DND-41|H3K4me1|None
ENCFF566SEB	ACC112|H3K27ac|None
ENCFF865LYL	neural-progenitor-cell|H3K4me3|None
ENCFF164WEP	IMR-90|H4K91ac|None
ENCFF738BVY	radial-glial-cell|H3K27ac|None
ENCFF034USW	HL-60|H3K4me3|None
ENCFF428MOV	skeletal-muscle-myoblast|H2AFZ|None
ENCFF805DZL	DND-41|H3K4me2|None
ENCFF099KJP	bronchial-epithelial-cell|H3K27me3|None
ENCFF223EHT	IMR-90|H2AK5ac|None
ENCFF796ZRF	retinal-pigment-epithelial-cell|H3K4me3|None
ENCFF043IDE	endothelial-cell-of-umbilical-vein|H3K27me3|None
ENCFF534MFA	myotube|H2AFZ|None
ENCFF127KAB	CD14-positive-monocyte|H3K4me2|None
ENCFF439CWL	H1-hESC|H4K20me1|None
ENCFF377MON	MM.1S|H3K4me2|None
ENCFF360KYL	osteoblast|H3K9me3|None
ENCFF843HOM	H9|H3K4me1|None
ENCFF791ENG	HUES6|H3K36me3|None
ENCFF730WPS	mammary-epithelial-cell|H3K9ac|None
ENCFF567VGM	skeletal-muscle-myoblast|H4K20me1|None
ENCFF008LHE	skeletal-muscle-myoblast|H3K27me3|None
ENCFF798SDO	mesenchymal-stem-cell|H3K79me1|None
ENCFF550YZB	fibroblast-of-pulmonary-artery|H3K4me3|None
ENCFF060VWD	skeletal-muscle-myoblast|H3K4me2|None
ENCFF921IKK	K562|H2AFZ|None
ENCFF023MGT	HCT116|H3K4me3|None
ENCFF202EZL	H1-hESC|H3K79me2|None
ENCFF985WEH	myotube|H3K4me1|None
ENCFF547MXG	OCI-LY7|H3K4me2|None
ENCFF580MMU	HCT116|H3K9me3|None
ENCFF108EBI	PC-9|H3K36me3|None
ENCFF527TBJ	keratinocyte|H3K79me2|None
ENCFF082SDP	OCI-LY1|H3K9me3|None
ENCFF856JNQ	myotube|H3K4me2|None
ENCFF982HNO	A549|H3K4me3|None
ENCFF489BWP	induced-pluripotent-stem-cell|H3K9ac|None
ENCFF544MSP	SUDHL6|H3K4me2|None
ENCFF770GLX	Loucy|H3K27ac|None
ENCFF948MSU	gastrocnemius-medialis|H3K4me3|None
ENCFF554NKA	HUES48|H3K9me3|None
ENCFF823OKF	smooth-muscle-cell|H3K36me3|None
ENCFF771WYR	trophoblast-cell|H2BK5ac|None
ENCFF244MRN	hepatocyte|H3K27ac|None
ENCFF765NNN	fibroblast-of-lung|H3K36me3|None
ENCFF790PFA	KMS-11|H3K4me2|None
ENCFF214WSR	thoracic-aorta|H3K9me3|None
ENCFF068SXT	bipolar-neuron|H3F3A|None
ENCFF658GSF	induced-pluripotent-stem-cell|H3K4me2|None
ENCFF810JNF	mammary-epithelial-cell|H2AFZ|None
ENCFF051JNM	endothelial-cell-of-umbilical-vein|H3K4me2|None
ENCFF046FWB	SUDHL6|H3F3A|None
ENCFF708PTO	kidney-epithelial-cell|H3K27me3|None
ENCFF506SPC	neural-stem-progenitor-cell|H2AK5ac|None
ENCFF487IVG	fibroblast-of-lung|H3K4me3|None
ENCFF594BQZ	bipolar-neuron|H3K9me2|None
ENCFF641FNH	DOHH2|H3K4me2|None
ENCFF218SRX	neural-stem-progenitor-cell|H2BK120ac|None
ENCFF840CMI	fibroblast-of-lung|H3K27me3|None
ENCFF111YIF	foreskin-fibroblast|H3K4me3|None
ENCFF025TCL	SUDHL6|H2AFZ|None
ENCFF140FVM	iPS-DF-6.9|H3K4me3|None
ENCFF487ZPV	astrocyte|H4K20me1|None
ENCFF158KSY	smooth-muscle-cell|H3F3A|None
ENCFF538JXQ	astrocyte-of-the-cerebellum|H3K4me3|None
ENCFF910NTF	trophoblast-cell|H4K12ac|None
ENCFF371MFX	Karpas-422|H3K27ac|None
ENCFF264SLU	H9|H2BK15ac|None
ENCFF446HIG	endodermal-cell|H3K9me3|None
ENCFF198OJQ	keratinocyte|H2AFZ|None
ENCFF906ILB	HUES48|H3K36me3|None
ENCFF824NJT	SUDHL6|H3K9ac|None
ENCFF287NJM	cardiac-muscle-cell|H3K27ac|None
ENCFF417QIV	astrocyte-of-the-spinal-cord|H3K4me3|None
ENCFF630ZPK	NT2/D1|H3K4me1|None
ENCFF835WQT	GM12865|H3K4me3|None
ENCFF717TED	PC-9|H3K27ac|None
ENCFF682VNJ	mesendoderm|H3K4me1|None
ENCFF059KOC	trophoblast-cell|H3K27ac|None
ENCFF447MUW	PC-9|H3K9me2|None
ENCFF864SBW	induced-pluripotent-stem-cell|H3F3A|None
ENCFF845ASZ	DND-41|H2AFZ|None
ENCFF028IKO	IMR-90|H3K9me3|None
ENCFF958IYH	fibroblast-of-lung|H3K79me2|None
ENCFF347MVY	thoracic-aorta|H3K27me3|None
ENCFF775EFB	neutrophil|H3K27ac|None
ENCFF982CSD	HepG2|H3K27me3|None
ENCFF185WOB	HepG2|H3K4me3|None
ENCFF946FXB	HUES48|H3K27me3|None
ENCFF997ZDN	H1-hESC|H2BK15ac|None
ENCFF510ZUB	A549|H2AFZ|ethanol
ENCFF986GPP	induced-pluripotent-stem-cell|H3K4me1|None
ENCFF223VGQ	KMS-11|H3K36me3|None
ENCFF022VRW	mesenchymal-stem-cell|H3K9me3|None
ENCFF089ITH	BE2C|H3K4me3|None
ENCFF655JIF	epithelial-cell-of-prostate|H3K27ac|None
ENCFF579OXO	NT2/D1|H3K4me3|None
ENCFF515LCR	HUES6|H3K9me3|None
ENCFF392EDT	HeLa-S3|H3K27ac|None
ENCFF958DTC	thyroid-gland|H3K4me1|None
ENCFF058TAP	22Rv1|H3K27ac|None
ENCFF022DZS	Panc1|H3K36me3|None
ENCFF404PIP	A673|H3K4me3|None
ENCFF014ZNA	H9|H3K56ac|None
ENCFF213GPU	GM12878|H3K79me2|None
ENCFF722OBP	neural-stem-progenitor-cell|H3K27ac|None
ENCFF119AXY	fibroblast-of-skin-of-abdomen|H3K4me3|None
ENCFF824QTN	mesenchymal-stem-cell|H3K4me1|None
ENCFF120SGY	thyroid-gland|H3K27ac|None
ENCFF365PZS	iPS-DF-6.9|H3K4me1|None
ENCFF385RUL	cardiac-mesoderm|H3K27me3|None
ENCFF888SIA	PC-9|H2AFZ|None
ENCFF433ZJT	thyroid-gland|H3K9me3|None
ENCFF733UYO	gastroesophageal-sphincter|H3K4me3|None
ENCFF617TNZ	skeletal-muscle-myoblast|H3K27ac|None
ENCFF557RWU	KOPT-K1|H3K9me3|None
ENCFF119UNZ	H1-hESC|H3K9me3|None
ENCFF704PLX	DOHH2|H2AFZ|None
ENCFF286CTR	myotube|H3K36me3|None
ENCFF569KYP	DND-41|H3K4me3|None
ENCFF118PWC	osteoblast|H3K79me2|None
ENCFF112PES	CD14-positive-monocyte|H3K4me3|None
ENCFF403HEC	HUES48|H3K9ac|None
ENCFF018XIB	trophoblast-cell|H3K14ac|None
ENCFF900KZW	fibroblast-of-arm|H3K9ac|None
ENCFF982AUY	Loucy|H3K27me3|None
ENCFF723KXX	SUDHL6|H3K4me3|None
ENCFF812ESB	iPS-DF-6.9|H3K9me3|None
ENCFF540FNZ	Panc1|H3K4me3|None
ENCFF066ZAG	SK-N-SH|H2AFZ|None
ENCFF699KLD	MM.1S|H4K20me1|None
ENCFF909PMV	K562|H3K4me3|None
ENCFF470ODH	fibroblast-of-dermis|H3K4me3|None
ENCFF259TLB	neutrophil|H3K9me3|None
ENCFF713LXV	trophoblast-cell|H4K8ac|None
ENCFF245NIW	skeletal-muscle-myoblast|H3K9ac|None
ENCFF452BTT	mammary-epithelial-cell|H3K4me2|None
ENCFF519DEJ	B-cell|H3K4me2|None
ENCFF598BWM	ES-I3|H3K36me3|None
ENCFF215PHD	NCI-H929|H3K9ac|None
ENCFF574ONQ	neural-progenitor-cell|H3K36me3|None
ENCFF371GMJ	K562|H3K9me3|None
ENCFF038DXL	neural-stem-progenitor-cell|H2BK15ac|None
ENCFF854CVS	trophoblast-cell|H2AK5ac|None
ENCFF367KIF	GM12878|H3K27ac|None
ENCFF504BOD	neural-stem-progenitor-cell|H3K27me3|None
ENCFF268FCW	mesenchymal-stem-cell|H3K27ac|None
ENCFF740GYY	MM.1S|H3K9ac|None
ENCFF473UOL	thoracic-aorta|H3K4me1|None
ENCFF549VEQ	HCT116|H2AFZ|None
ENCFF760EFQ	H1-hESC|H4K8ac|None
ENCFF068IZP	H1-hESC|H2BK5ac|None
ENCFF441MSJ	H1-hESC|H3K4me2|None
ENCFF548YZH	smooth-muscle-cell|H3K4me3|None
ENCFF051RNB	mesenchymal-stem-cell|H3K36me3|None
ENCFF758DRC	B-cell|H3K27me3|None
ENCFF407DWP	neural-progenitor-cell|H3K27ac|None
ENCFF720IXG	myotube|H4K20me1|None
ENCFF621JDT	neural-cell|H3K9me3|None
ENCFF907HWV	cardiac-mesoderm|H3K36me3|None
ENCFF467BCP	HEK293|H3K36me3|None
ENCFF453PEP	GM12878|H3K4me1|None
ENCFF799VTC	SUDHL6|H3K9me3|None
ENCFF618YXI	H9|H3K23ac|None
ENCFF205NZQ	body-of-pancreas|H3K4me1|None
ENCFF519CNY	iPS-DF-19.11|H3K4me3|None
ENCFF792HXN	foreskin-fibroblast|H3K27me3|None
ENCFF560PQQ	CD14-positive-monocyte|H3K27ac|None
ENCFF332EPM	H9|H4K91ac|None
ENCFF583NFB	MCF-7|H3K4me1|None
ENCFF975DYD	bipolar-neuron|H3K27ac|None
ENCFF630RBZ	HUES6|H3K4me1|None
ENCFF284KNZ	trophoblast-cell|H3K4me3|None
ENCFF758JOO	H9|H3K4me3|None
ENCFF974UUV	MM.1S|H3F3A|None
ENCFF094XQE	IMR-90|H2BK15ac|None
ENCFF651URE	DOHH2|H3K9me3|None
ENCFF745EAM	trophoblast-cell|H3K4ac|None
ENCFF754SMN	neural-stem-progenitor-cell|H3K18ac|None
ENCFF867OVA	fibroblast-of-dermis|H3K9ac|None
ENCFF806NNI	H1-hESC|H3K9ac|None
ENCFF126ANB	HUES64|H3K9me3|None
ENCFF806LPY	fibroblast-of-arm|H3K4me1|None
ENCFF549AYZ	SK-N-SH|H3F3A|None
ENCFF656AXR	NCI-H929|H3K4me1|None
ENCFF138ZAO	KMS-11|H3K79me2|None
ENCFF690APK	Loucy|H4K20me1|None
ENCFF926ZHI	PC-9|H3F3A|None
ENCFF480XQG	fibroblast-of-arm|H4K20me1|None
ENCFF896OTN	PC-9|H3K79me2|None
ENCFF706IIQ	A673|H3K36me3|None
ENCFF230KTQ	hepatocyte|H4K20me1|None
ENCFF272UZC	fibroblast-of-arm|H3K27me3|None
ENCFF667HJO	fibroblast-of-arm|H3F3A|None
ENCFF571FZW	B-cell|H3K36me3|None
ENCFF815IYP	smooth-muscle-cell|H4K20me1|None
ENCFF703MCA	SK-N-SH|H3K79me2|None
ENCFF899DKP	bipolar-neuron|H3K79me2|None
ENCFF851MNL	neural-progenitor-cell|H3K79me2|None
ENCFF995SFF	bipolar-neuron|H3K36me3|None
ENCFF349DRG	bipolar-neuron|H4K20me1|None
ENCFF140RVM	SK-N-SH|H3K36me3|None
ENCFF426NKM	DOHH2|H3F3A|None
ENCFF394AIG	induced-pluripotent-stem-cell|H4K20me1|None
ENCFF826EDS	fibroblast-of-arm|H3K79me2|None
ENCFF100QQI	KMS-11|H3K9me3|None
ENCFF045VWG	KMS-11|H3K9me2|None
ENCFF053HOS	NCI-H929|H3F3A|None
ENCFF487XSW	thyroid-gland|H3K36me3|None
ENCFF616YJD	induced-pluripotent-stem-cell|H3K36me3|None
ENCFF741EBK	A673|H3K27me3|None
ENCFF959EHK	hepatocyte|H3K79me2|None
ENCFF687IIW	induced-pluripotent-stem-cell|H3K79me2|None
ENCFF103XKE	KMS-11|H3K4me1|None
ENCFF880VSE	body-of-pancreas|H3K9me3|None
ENCFF272PZA	PC-9|H4K20me1|None
ENCFF821LWB	MM.1S|H3K9me3|None
ENCFF032VVV	KMS-11|H4K20me1|None
ENCFF841QIW	gastrocnemius-medialis|H3K36me3|None
ENCFF372KFR	OCI-LY1|H3F3A|None
ENCFF304JWR	smooth-muscle-cell|H3K79me2|None
