#Supplementary Table 6. All ENCODE profiles informations.				
Accession	Cell type / Tissue	Feature	Treatment	Download link
ENCFF497PQV	iPS DF 4.7	DNase-seq	None	https://www.encodeproject.org/files/ENCFF497PQV/@@download/ENCFF497PQV.bed.gz
ENCFF834QRV	small intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF834QRV/@@download/ENCFF834QRV.bed.gz
ENCFF561ENC	kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF561ENC/@@download/ENCFF561ENC.bed.gz
ENCFF422BPW	right lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF422BPW/@@download/ENCFF422BPW.bed.gz
ENCFF543NKS	left lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF543NKS/@@download/ENCFF543NKS.bed.gz
ENCFF240WZG	small intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF240WZG/@@download/ENCFF240WZG.bed.gz
ENCFF243MBB	skin fibroblast	DNase-seq	None	https://www.encodeproject.org/files/ENCFF243MBB/@@download/ENCFF243MBB.bed.gz
ENCFF977UYY	thymus	DNase-seq	None	https://www.encodeproject.org/files/ENCFF977UYY/@@download/ENCFF977UYY.bed.gz
ENCFF259VVH	renal cortex interstitium	DNase-seq	None	https://www.encodeproject.org/files/ENCFF259VVH/@@download/ENCFF259VVH.bed.gz
ENCFF828JRB	muscle of arm	DNase-seq	None	https://www.encodeproject.org/files/ENCFF828JRB/@@download/ENCFF828JRB.bed.gz
ENCFF172GSX	lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF172GSX/@@download/ENCFF172GSX.bed.gz
ENCFF012LSG	small intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF012LSG/@@download/ENCFF012LSG.bed.gz
ENCFF295FPK	right lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF295FPK/@@download/ENCFF295FPK.bed.gz
ENCFF070VRK	right lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF070VRK/@@download/ENCFF070VRK.bed.gz
ENCFF472SZR	large intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF472SZR/@@download/ENCFF472SZR.bed.gz
ENCFF927SPG	small intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF927SPG/@@download/ENCFF927SPG.bed.gz
ENCFF783SLY	stomach	DNase-seq	None	https://www.encodeproject.org/files/ENCFF783SLY/@@download/ENCFF783SLY.bed.gz
ENCFF390EKL	heart	DNase-seq	None	https://www.encodeproject.org/files/ENCFF390EKL/@@download/ENCFF390EKL.bed.gz
ENCFF047VNP	heart	DNase-seq	None	https://www.encodeproject.org/files/ENCFF047VNP/@@download/ENCFF047VNP.bed.gz
ENCFF415CEW	muscle of leg	DNase-seq	None	https://www.encodeproject.org/files/ENCFF415CEW/@@download/ENCFF415CEW.bed.gz
ENCFF809PKZ	muscle of arm	DNase-seq	None	https://www.encodeproject.org/files/ENCFF809PKZ/@@download/ENCFF809PKZ.bed.gz
ENCFF216SYK	lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF216SYK/@@download/ENCFF216SYK.bed.gz
ENCFF745WLV	adrenal gland	DNase-seq	None	https://www.encodeproject.org/files/ENCFF745WLV/@@download/ENCFF745WLV.bed.gz
ENCFF967WVU	kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF967WVU/@@download/ENCFF967WVU.bed.gz
ENCFF217JVU	skin fibroblast	DNase-seq	None	https://www.encodeproject.org/files/ENCFF217JVU/@@download/ENCFF217JVU.bed.gz
ENCFF648KXM	large intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF648KXM/@@download/ENCFF648KXM.bed.gz
ENCFF221FFD	muscle of arm	DNase-seq	None	https://www.encodeproject.org/files/ENCFF221FFD/@@download/ENCFF221FFD.bed.gz
ENCFF684HBU	skin fibroblast	DNase-seq	None	https://www.encodeproject.org/files/ENCFF684HBU/@@download/ENCFF684HBU.bed.gz
ENCFF502FQS	muscle of leg	DNase-seq	None	https://www.encodeproject.org/files/ENCFF502FQS/@@download/ENCFF502FQS.bed.gz
ENCFF406RTA	spinal cord	DNase-seq	None	https://www.encodeproject.org/files/ENCFF406RTA/@@download/ENCFF406RTA.bed.gz
ENCFF520CZT	iPS DF 6.9	DNase-seq	None	https://www.encodeproject.org/files/ENCFF520CZT/@@download/ENCFF520CZT.bed.gz
ENCFF925SKQ	left kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF925SKQ/@@download/ENCFF925SKQ.bed.gz
ENCFF753HBM	muscle of back	DNase-seq	None	https://www.encodeproject.org/files/ENCFF753HBM/@@download/ENCFF753HBM.bed.gz
ENCFF238LUI	B cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF238LUI/@@download/ENCFF238LUI.bed.gz
ENCFF947JNC	CD4-positive helper T cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF947JNC/@@download/ENCFF947JNC.bed.gz
ENCFF025BJB	placenta	DNase-seq	None	https://www.encodeproject.org/files/ENCFF025BJB/@@download/ENCFF025BJB.bed.gz
ENCFF875CDR	spinal cord	DNase-seq	None	https://www.encodeproject.org/files/ENCFF875CDR/@@download/ENCFF875CDR.bed.gz
ENCFF816OHA	muscle of back	DNase-seq	None	https://www.encodeproject.org/files/ENCFF816OHA/@@download/ENCFF816OHA.bed.gz
ENCFF652JYR	thymus	DNase-seq	None	https://www.encodeproject.org/files/ENCFF652JYR/@@download/ENCFF652JYR.bed.gz
ENCFF915XQC	CD14-positive monocyte	DNase-seq	None	https://www.encodeproject.org/files/ENCFF915XQC/@@download/ENCFF915XQC.bed.gz
ENCFF916PTD	testis	DNase-seq	None	https://www.encodeproject.org/files/ENCFF916PTD/@@download/ENCFF916PTD.bed.gz
ENCFF497QQN	B cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF497QQN/@@download/ENCFF497QQN.bed.gz
ENCFF335JED	CD14-positive monocyte	DNase-seq	None	https://www.encodeproject.org/files/ENCFF335JED/@@download/ENCFF335JED.bed.gz
ENCFF974WUR	skin fibroblast	DNase-seq	None	https://www.encodeproject.org/files/ENCFF974WUR/@@download/ENCFF974WUR.bed.gz
ENCFF613TMO	muscle of arm	DNase-seq	None	https://www.encodeproject.org/files/ENCFF613TMO/@@download/ENCFF613TMO.bed.gz
ENCFF991KFV	large intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF991KFV/@@download/ENCFF991KFV.bed.gz
ENCFF684QFQ	left lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF684QFQ/@@download/ENCFF684QFQ.bed.gz
ENCFF375DHF	muscle of back	DNase-seq	None	https://www.encodeproject.org/files/ENCFF375DHF/@@download/ENCFF375DHF.bed.gz
ENCFF618FRQ	adrenal gland	DNase-seq	None	https://www.encodeproject.org/files/ENCFF618FRQ/@@download/ENCFF618FRQ.bed.gz
ENCFF037QQA	ovary	DNase-seq	None	https://www.encodeproject.org/files/ENCFF037QQA/@@download/ENCFF037QQA.bed.gz
ENCFF861EYO	stomach	DNase-seq	None	https://www.encodeproject.org/files/ENCFF861EYO/@@download/ENCFF861EYO.bed.gz
ENCFF004GBA	CD8-positive, alpha-beta T cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF004GBA/@@download/ENCFF004GBA.bed.gz
ENCFF839YTP	T-cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF839YTP/@@download/ENCFF839YTP.bed.gz
ENCFF737MBR	stomach	DNase-seq	None	https://www.encodeproject.org/files/ENCFF737MBR/@@download/ENCFF737MBR.bed.gz
ENCFF150YYX	H9	DNase-seq	None	https://www.encodeproject.org/files/ENCFF150YYX/@@download/ENCFF150YYX.bed.gz
ENCFF921EBT	heart	DNase-seq	None	https://www.encodeproject.org/files/ENCFF921EBT/@@download/ENCFF921EBT.bed.gz
ENCFF371HNS	left lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF371HNS/@@download/ENCFF371HNS.bed.gz
ENCFF027EJI	large intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF027EJI/@@download/ENCFF027EJI.bed.gz
ENCFF059EQC	large intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF059EQC/@@download/ENCFF059EQC.bed.gz
ENCFF356OSE	foreskin melanocyte	DNase-seq	None	https://www.encodeproject.org/files/ENCFF356OSE/@@download/ENCFF356OSE.bed.gz
ENCFF378QVC	kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF378QVC/@@download/ENCFF378QVC.bed.gz
ENCFF164FDZ	muscle of leg	DNase-seq	None	https://www.encodeproject.org/files/ENCFF164FDZ/@@download/ENCFF164FDZ.bed.gz
ENCFF145MNB	muscle of leg	DNase-seq	None	https://www.encodeproject.org/files/ENCFF145MNB/@@download/ENCFF145MNB.bed.gz
ENCFF096VYH	heart	DNase-seq	None	https://www.encodeproject.org/files/ENCFF096VYH/@@download/ENCFF096VYH.bed.gz
ENCFF772JBK	renal pelvis	DNase-seq	None	https://www.encodeproject.org/files/ENCFF772JBK/@@download/ENCFF772JBK.bed.gz
ENCFF507PIV	left renal cortex interstitium	DNase-seq	None	https://www.encodeproject.org/files/ENCFF507PIV/@@download/ENCFF507PIV.bed.gz
ENCFF209TED	common myeloid progenitor, CD34-positive	DNase-seq	None	https://www.encodeproject.org/files/ENCFF209TED/@@download/ENCFF209TED.bed.gz
ENCFF190MLU	thymus	DNase-seq	None	https://www.encodeproject.org/files/ENCFF190MLU/@@download/ENCFF190MLU.bed.gz
ENCFF007BRU	left kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF007BRU/@@download/ENCFF007BRU.bed.gz
ENCFF907KYP	right kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF907KYP/@@download/ENCFF907KYP.bed.gz
ENCFF948CVH	kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF948CVH/@@download/ENCFF948CVH.bed.gz
ENCFF727MYL	natural killer cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF727MYL/@@download/ENCFF727MYL.bed.gz
ENCFF402DJK	large intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF402DJK/@@download/ENCFF402DJK.bed.gz
ENCFF084INH	skin fibroblast	DNase-seq	None	https://www.encodeproject.org/files/ENCFF084INH/@@download/ENCFF084INH.bed.gz
ENCFF597GVZ	skin fibroblast	DNase-seq	None	https://www.encodeproject.org/files/ENCFF597GVZ/@@download/ENCFF597GVZ.bed.gz
ENCFF386QCU	large intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF386QCU/@@download/ENCFF386QCU.bed.gz
ENCFF689FDS	muscle of trunk	DNase-seq	None	https://www.encodeproject.org/files/ENCFF689FDS/@@download/ENCFF689FDS.bed.gz
ENCFF305IAL	large intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF305IAL/@@download/ENCFF305IAL.bed.gz
ENCFF783TQZ	stomach	DNase-seq	None	https://www.encodeproject.org/files/ENCFF783TQZ/@@download/ENCFF783TQZ.bed.gz
ENCFF209WIT	T-cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF209WIT/@@download/ENCFF209WIT.bed.gz
ENCFF762WIQ	muscle of leg	DNase-seq	None	https://www.encodeproject.org/files/ENCFF762WIQ/@@download/ENCFF762WIQ.bed.gz
ENCFF926KAT	muscle of arm	DNase-seq	None	https://www.encodeproject.org/files/ENCFF926KAT/@@download/ENCFF926KAT.bed.gz
ENCFF091BAW	muscle of leg	DNase-seq	None	https://www.encodeproject.org/files/ENCFF091BAW/@@download/ENCFF091BAW.bed.gz
ENCFF227WZR	lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF227WZR/@@download/ENCFF227WZR.bed.gz
ENCFF756JNG	small intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF756JNG/@@download/ENCFF756JNG.bed.gz
ENCFF116DHO	foreskin fibroblast	DNase-seq	None	https://www.encodeproject.org/files/ENCFF116DHO/@@download/ENCFF116DHO.bed.gz
ENCFF284JYN	large intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF284JYN/@@download/ENCFF284JYN.bed.gz
ENCFF805PHJ	B cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF805PHJ/@@download/ENCFF805PHJ.bed.gz
ENCFF911WDJ	thymus	DNase-seq	None	https://www.encodeproject.org/files/ENCFF911WDJ/@@download/ENCFF911WDJ.bed.gz
ENCFF700QDA	right kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF700QDA/@@download/ENCFF700QDA.bed.gz
ENCFF199ETV	small intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF199ETV/@@download/ENCFF199ETV.bed.gz
ENCFF879VBG	small intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF879VBG/@@download/ENCFF879VBG.bed.gz
ENCFF675NAH	muscle of back	DNase-seq	None	https://www.encodeproject.org/files/ENCFF675NAH/@@download/ENCFF675NAH.bed.gz
ENCFF661OPZ	left lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF661OPZ/@@download/ENCFF661OPZ.bed.gz
ENCFF498BSC	muscle of arm	DNase-seq	None	https://www.encodeproject.org/files/ENCFF498BSC/@@download/ENCFF498BSC.bed.gz
ENCFF157IYR	stomach	DNase-seq	None	https://www.encodeproject.org/files/ENCFF157IYR/@@download/ENCFF157IYR.bed.gz
ENCFF514DWJ	left renal cortex interstitium	DNase-seq	None	https://www.encodeproject.org/files/ENCFF514DWJ/@@download/ENCFF514DWJ.bed.gz
ENCFF091CNN	muscle of back	DNase-seq	None	https://www.encodeproject.org/files/ENCFF091CNN/@@download/ENCFF091CNN.bed.gz
ENCFF248TFS	thymus	DNase-seq	None	https://www.encodeproject.org/files/ENCFF248TFS/@@download/ENCFF248TFS.bed.gz
ENCFF487JBH	muscle of leg	DNase-seq	None	https://www.encodeproject.org/files/ENCFF487JBH/@@download/ENCFF487JBH.bed.gz
ENCFF290OTF	thymus	DNase-seq	None	https://www.encodeproject.org/files/ENCFF290OTF/@@download/ENCFF290OTF.bed.gz
ENCFF255HLT	right renal pelvis	DNase-seq	None	https://www.encodeproject.org/files/ENCFF255HLT/@@download/ENCFF255HLT.bed.gz
ENCFF931DUC	renal cortex interstitium	DNase-seq	None	https://www.encodeproject.org/files/ENCFF931DUC/@@download/ENCFF931DUC.bed.gz
ENCFF587FIW	muscle of back	DNase-seq	None	https://www.encodeproject.org/files/ENCFF587FIW/@@download/ENCFF587FIW.bed.gz
ENCFF126JXB	T-cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF126JXB/@@download/ENCFF126JXB.bed.gz
ENCFF958ENE	skin fibroblast	DNase-seq	None	https://www.encodeproject.org/files/ENCFF958ENE/@@download/ENCFF958ENE.bed.gz
ENCFF594XCR	right renal cortex interstitium	DNase-seq	None	https://www.encodeproject.org/files/ENCFF594XCR/@@download/ENCFF594XCR.bed.gz
ENCFF554QRP	renal cortex interstitium	DNase-seq	None	https://www.encodeproject.org/files/ENCFF554QRP/@@download/ENCFF554QRP.bed.gz
ENCFF983SVC	renal pelvis	DNase-seq	None	https://www.encodeproject.org/files/ENCFF983SVC/@@download/ENCFF983SVC.bed.gz
ENCFF068EJC	pancreas	DNase-seq	None	https://www.encodeproject.org/files/ENCFF068EJC/@@download/ENCFF068EJC.bed.gz
ENCFF258KAT	brain	DNase-seq	None	https://www.encodeproject.org/files/ENCFF258KAT/@@download/ENCFF258KAT.bed.gz
ENCFF327JLK	muscle of leg	DNase-seq	None	https://www.encodeproject.org/files/ENCFF327JLK/@@download/ENCFF327JLK.bed.gz
ENCFF900LAT	muscle of arm	DNase-seq	None	https://www.encodeproject.org/files/ENCFF900LAT/@@download/ENCFF900LAT.bed.gz
ENCFF680GPQ	lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF680GPQ/@@download/ENCFF680GPQ.bed.gz
ENCFF663PTZ	right renal cortex interstitium	DNase-seq	None	https://www.encodeproject.org/files/ENCFF663PTZ/@@download/ENCFF663PTZ.bed.gz
ENCFF762YAX	renal cortex interstitium	DNase-seq	None	https://www.encodeproject.org/files/ENCFF762YAX/@@download/ENCFF762YAX.bed.gz
ENCFF841AYF	left kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF841AYF/@@download/ENCFF841AYF.bed.gz
ENCFF067JJG	placenta	DNase-seq	None	https://www.encodeproject.org/files/ENCFF067JJG/@@download/ENCFF067JJG.bed.gz
ENCFF927NNT	right lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF927NNT/@@download/ENCFF927NNT.bed.gz
ENCFF597TKH	kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF597TKH/@@download/ENCFF597TKH.bed.gz
ENCFF793EQQ	skin of body	DNase-seq	None	https://www.encodeproject.org/files/ENCFF793EQQ/@@download/ENCFF793EQQ.bed.gz
ENCFF630LEF	muscle of arm	DNase-seq	None	https://www.encodeproject.org/files/ENCFF630LEF/@@download/ENCFF630LEF.bed.gz
ENCFF485DEP	muscle of arm	DNase-seq	None	https://www.encodeproject.org/files/ENCFF485DEP/@@download/ENCFF485DEP.bed.gz
ENCFF725NMZ	stomach	DNase-seq	None	https://www.encodeproject.org/files/ENCFF725NMZ/@@download/ENCFF725NMZ.bed.gz
ENCFF572YUX	heart	DNase-seq	None	https://www.encodeproject.org/files/ENCFF572YUX/@@download/ENCFF572YUX.bed.gz
ENCFF210YXP	spleen	DNase-seq	None	https://www.encodeproject.org/files/ENCFF210YXP/@@download/ENCFF210YXP.bed.gz
ENCFF188ZFG	muscle of arm	DNase-seq	None	https://www.encodeproject.org/files/ENCFF188ZFG/@@download/ENCFF188ZFG.bed.gz
ENCFF030FXE	adrenal gland	DNase-seq	None	https://www.encodeproject.org/files/ENCFF030FXE/@@download/ENCFF030FXE.bed.gz
ENCFF642UFQ	kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF642UFQ/@@download/ENCFF642UFQ.bed.gz
ENCFF661OGW	spinal cord	DNase-seq	None	https://www.encodeproject.org/files/ENCFF661OGW/@@download/ENCFF661OGW.bed.gz
ENCFF784TVL	common myeloid progenitor, CD34-positive	DNase-seq	None	https://www.encodeproject.org/files/ENCFF784TVL/@@download/ENCFF784TVL.bed.gz
ENCFF300IHF	skin fibroblast	DNase-seq	None	https://www.encodeproject.org/files/ENCFF300IHF/@@download/ENCFF300IHF.bed.gz
ENCFF922MQL	CD8-positive, alpha-beta T cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF922MQL/@@download/ENCFF922MQL.bed.gz
ENCFF589FTC	placenta	DNase-seq	None	https://www.encodeproject.org/files/ENCFF589FTC/@@download/ENCFF589FTC.bed.gz
ENCFF552TQZ	small intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF552TQZ/@@download/ENCFF552TQZ.bed.gz
ENCFF087TBH	left renal cortex interstitium	DNase-seq	None	https://www.encodeproject.org/files/ENCFF087TBH/@@download/ENCFF087TBH.bed.gz
ENCFF396OCF	brain	DNase-seq	None	https://www.encodeproject.org/files/ENCFF396OCF/@@download/ENCFF396OCF.bed.gz
ENCFF519BRW	left renal pelvis	DNase-seq	None	https://www.encodeproject.org/files/ENCFF519BRW/@@download/ENCFF519BRW.bed.gz
ENCFF994DZN	right lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF994DZN/@@download/ENCFF994DZN.bed.gz
ENCFF859JXM	left lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF859JXM/@@download/ENCFF859JXM.bed.gz
ENCFF472TGW	heart	DNase-seq	None	https://www.encodeproject.org/files/ENCFF472TGW/@@download/ENCFF472TGW.bed.gz
ENCFF362PZC	right renal pelvis	DNase-seq	None	https://www.encodeproject.org/files/ENCFF362PZC/@@download/ENCFF362PZC.bed.gz
ENCFF205MKH	renal cortex interstitium	DNase-seq	None	https://www.encodeproject.org/files/ENCFF205MKH/@@download/ENCFF205MKH.bed.gz
ENCFF660BYL	natural killer cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF660BYL/@@download/ENCFF660BYL.bed.gz
ENCFF757GAE	T-cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF757GAE/@@download/ENCFF757GAE.bed.gz
ENCFF683PCM	large intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF683PCM/@@download/ENCFF683PCM.bed.gz
ENCFF861KWC	lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF861KWC/@@download/ENCFF861KWC.bed.gz
ENCFF102IYI	small intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF102IYI/@@download/ENCFF102IYI.bed.gz
ENCFF524EGE	brain	DNase-seq	None	https://www.encodeproject.org/files/ENCFF524EGE/@@download/ENCFF524EGE.bed.gz
ENCFF949RAR	stomach	DNase-seq	None	https://www.encodeproject.org/files/ENCFF949RAR/@@download/ENCFF949RAR.bed.gz
ENCFF536KAC	heart	DNase-seq	None	https://www.encodeproject.org/files/ENCFF536KAC/@@download/ENCFF536KAC.bed.gz
ENCFF037SOW	brain	DNase-seq	None	https://www.encodeproject.org/files/ENCFF037SOW/@@download/ENCFF037SOW.bed.gz
ENCFF289AWO	common myeloid progenitor, CD34-positive	DNase-seq	None	https://www.encodeproject.org/files/ENCFF289AWO/@@download/ENCFF289AWO.bed.gz
ENCFF027SZQ	left lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF027SZQ/@@download/ENCFF027SZQ.bed.gz
ENCFF687BUW	left lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF687BUW/@@download/ENCFF687BUW.bed.gz
ENCFF819JMJ	adrenal gland	DNase-seq	None	https://www.encodeproject.org/files/ENCFF819JMJ/@@download/ENCFF819JMJ.bed.gz
ENCFF756EVG	small intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF756EVG/@@download/ENCFF756EVG.bed.gz
ENCFF847XNL	neural stem progenitor cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF847XNL/@@download/ENCFF847XNL.bed.gz
ENCFF132JBP	kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF132JBP/@@download/ENCFF132JBP.bed.gz
ENCFF259XYI	right lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF259XYI/@@download/ENCFF259XYI.bed.gz
ENCFF561QZT	muscle of back	DNase-seq	None	https://www.encodeproject.org/files/ENCFF561QZT/@@download/ENCFF561QZT.bed.gz
ENCFF281DKC	stomach	DNase-seq	None	https://www.encodeproject.org/files/ENCFF281DKC/@@download/ENCFF281DKC.bed.gz
ENCFF152RON	stomach	DNase-seq	None	https://www.encodeproject.org/files/ENCFF152RON/@@download/ENCFF152RON.bed.gz
ENCFF586ZED	large intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF586ZED/@@download/ENCFF586ZED.bed.gz
ENCFF981HPR	skin fibroblast	DNase-seq	None	https://www.encodeproject.org/files/ENCFF981HPR/@@download/ENCFF981HPR.bed.gz
ENCFF551DHI	muscle of back	DNase-seq	None	https://www.encodeproject.org/files/ENCFF551DHI/@@download/ENCFF551DHI.bed.gz
ENCFF742RPQ	right lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF742RPQ/@@download/ENCFF742RPQ.bed.gz
ENCFF898WTK	left lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF898WTK/@@download/ENCFF898WTK.bed.gz
ENCFF662ROY	spinal cord	DNase-seq	None	https://www.encodeproject.org/files/ENCFF662ROY/@@download/ENCFF662ROY.bed.gz
ENCFF293TWN	right renal pelvis	DNase-seq	None	https://www.encodeproject.org/files/ENCFF293TWN/@@download/ENCFF293TWN.bed.gz
ENCFF539ZGV	renal cortex interstitium	DNase-seq	None	https://www.encodeproject.org/files/ENCFF539ZGV/@@download/ENCFF539ZGV.bed.gz
ENCFF402XGX	renal cortex interstitium	DNase-seq	None	https://www.encodeproject.org/files/ENCFF402XGX/@@download/ENCFF402XGX.bed.gz
ENCFF731YCF	muscle of arm	DNase-seq	None	https://www.encodeproject.org/files/ENCFF731YCF/@@download/ENCFF731YCF.bed.gz
ENCFF779CFZ	placenta	DNase-seq	None	https://www.encodeproject.org/files/ENCFF779CFZ/@@download/ENCFF779CFZ.bed.gz
ENCFF833SIZ	lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF833SIZ/@@download/ENCFF833SIZ.bed.gz
ENCFF473LEG	muscle of arm	DNase-seq	None	https://www.encodeproject.org/files/ENCFF473LEG/@@download/ENCFF473LEG.bed.gz
ENCFF085SZC	placenta	DNase-seq	None	https://www.encodeproject.org/files/ENCFF085SZC/@@download/ENCFF085SZC.bed.gz
ENCFF046KTX	T-cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF046KTX/@@download/ENCFF046KTX.bed.gz
ENCFF153JAC	thymus	DNase-seq	None	https://www.encodeproject.org/files/ENCFF153JAC/@@download/ENCFF153JAC.bed.gz
ENCFF985BXZ	renal cortex interstitium	DNase-seq	None	https://www.encodeproject.org/files/ENCFF985BXZ/@@download/ENCFF985BXZ.bed.gz
ENCFF065PFK	brain	DNase-seq	None	https://www.encodeproject.org/files/ENCFF065PFK/@@download/ENCFF065PFK.bed.gz
ENCFF321NZU	trophoblast cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF321NZU/@@download/ENCFF321NZU.bed.gz
ENCFF519DSD	CD8-positive, alpha-beta T cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF519DSD/@@download/ENCFF519DSD.bed.gz
ENCFF567HDQ	left kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF567HDQ/@@download/ENCFF567HDQ.bed.gz
ENCFF470LXJ	right kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF470LXJ/@@download/ENCFF470LXJ.bed.gz
ENCFF435GTP	kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF435GTP/@@download/ENCFF435GTP.bed.gz
ENCFF603QML	CD4-positive helper T cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF603QML/@@download/ENCFF603QML.bed.gz
ENCFF115CZG	stomach	DNase-seq	None	https://www.encodeproject.org/files/ENCFF115CZG/@@download/ENCFF115CZG.bed.gz
ENCFF196JPA	stomach	DNase-seq	None	https://www.encodeproject.org/files/ENCFF196JPA/@@download/ENCFF196JPA.bed.gz
ENCFF256SZV	common myeloid progenitor, CD34-positive	DNase-seq	None	https://www.encodeproject.org/files/ENCFF256SZV/@@download/ENCFF256SZV.bed.gz
ENCFF408CBX	common myeloid progenitor, CD34-positive	DNase-seq	None	https://www.encodeproject.org/files/ENCFF408CBX/@@download/ENCFF408CBX.bed.gz
ENCFF058SNC	common myeloid progenitor, CD34-positive	DNase-seq	None	https://www.encodeproject.org/files/ENCFF058SNC/@@download/ENCFF058SNC.bed.gz
ENCFF067OIC	small intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF067OIC/@@download/ENCFF067OIC.bed.gz
ENCFF211VKM	small intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF211VKM/@@download/ENCFF211VKM.bed.gz
ENCFF882DPD	left lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF882DPD/@@download/ENCFF882DPD.bed.gz
ENCFF102GUG	kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF102GUG/@@download/ENCFF102GUG.bed.gz
ENCFF953HYB	stomach	DNase-seq	None	https://www.encodeproject.org/files/ENCFF953HYB/@@download/ENCFF953HYB.bed.gz
ENCFF843QJV	lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF843QJV/@@download/ENCFF843QJV.bed.gz
ENCFF671KGS	muscle of back	DNase-seq	None	https://www.encodeproject.org/files/ENCFF671KGS/@@download/ENCFF671KGS.bed.gz
ENCFF774PWU	thymus	DNase-seq	None	https://www.encodeproject.org/files/ENCFF774PWU/@@download/ENCFF774PWU.bed.gz
